kontrahent_id,nazwa,nip,regon,kraj,miasto,kod_pocztowy,ulica,email,telefon,typ,opiekun_handlowy,data_utworzenia,status
911,PPUH Kempka i syn s.c. sp.k.,1122528837,613989854,PL,Chrzanów,92-344,al. Prusa 68,kontakt@ppuh.pl,+48 14 448 59 65,klient,Maksymilian Popielarczyk,2026-04-21,aktywny
912,Stróż Sp.k. S.A.,3239791379,698565719,PL,Luboń,34-203,al. Świerczewskiego 74,kontakt@stróż.pl,+48 60 429 92 57,klient,Marcel Godzwon,2021-01-10,aktywny
913,Fundacja Banyś Sp. z o.o. sp. z o.o.,0950556054,597659232,PL,Grodzisk Mazowiecki,88-379,plac Głowackiego 40/84,kontakt@fundacja.pl,+48 28 963 22 86,oba,Gustaw Błażejczak,2021-11-12,aktywny
914,Grupa Fras Sp. z o.o. Sp.k. S.A.,7885190537,435069915,PL,Będzin,82-037,ul. Pułaskiego 08/63,kontakt@grupa.pl,+48 48 139 23 17,dostawca,Karol Szott,2022-02-03,aktywny
915,Chruszcz Sp.k. S.A.,2456185177,431126013,PL,Kalisz,82-506,al. Niecała 938,kontakt@chruszcz.pl,+48 63 123 13 46,dostawca,pan Piotr Stachelek,2022-08-18,aktywny
916,Grupa Lenarcik sp. z o.o.,5129391303,396905612,PL,Krotoszyn,93-654,aleja Sarnia 15/46,kontakt@grupa.pl,+48 81 872 79 20,oba,Michał Zacharek,2023-11-22,nieaktywny
917,FPUH Bisaga Sp. J.,,895743973,PL,Piastów,11-857,ul. Jaworowa 44/98,kontakt@fpuh.pl,+48 28 170 22 85,klient,Franciszek Pleśniak,2021-10-03,nieaktywny
918,Fundacja Wacławczyk-Pacholik Sp.j. Sp. z o.o.,7568142980,952666025,PL,Tarnowskie Góry,96-706,aleja Dąbrowskiej 09/62,kontakt@fundacja.pl,+48 21 442 31 33,oba,Jeremi Durlik,2021-09-21,aktywny
919,Spółdzielnia Wiatrak i syn s.c. Sp. z o.o.,963-845-26-99,541890948,PL,Żyrardów,85-133,plac Powstańców Wielkopolskich 51/33,kontakt@spółdzielnia.pl,+48 45 355 88 25,oba,Arkadiusz Michniak,2025-04-09,aktywny
920,Dębniak Sp. z o.o. Sp.k. sp.k.,7016934298,297952816,PL,Kościerzyna,92624,al. Pomorska 67/80,kontakt@dębniak.pl,+48 96 354 26 15,klient,pani Natasza Duszczyk,2023-05-12,aktywny
921,Spółdzielnia Szaruga i syn s.c. Sp. J.,1623419036,870126834,PL,Piastów,64-216,ul. Kusocińskiego 460,kontakt.spółdzielnia.pl,+48 12 523 23 53,klient,Ada Wyrwał,2025-07-28,aktywny
922,Grupa Drygała Sp. J.,,781881435,PL,Goleniów,68-379,plac Malczewskiego 770,kontakt@grupa.pl,+48 37 498 55 34,oba,Janina Płoskonka,2023-04-13,aktywny
923,Stowarzyszenie Sobiło-Janc Sp.j. Spółka z o.o.,7843614240,399926247,PL,Zambrów,03-770,plac Norwida 826,kontakt@stowarzyszenie.pl,+48 65 887 11 70,oba,Patryk Wołkowicz,2021-04-16,aktywny
924,Mzyk-Kurnik s.c. Spółka z o.o.,4373476424,615772199,PL,Ełk,23886,aleja Nałkowskiej 536,kontakt@mzyk-kurnik.pl,+48 67 236 12 40,oba,Alex Wyłupek,2026-01-03,aktywny
925,FPUH Pindor sp.k.,8214584149,806837607,PL,Bielsk Podlaski,88-984,pl. Dąbrowskiej 86/36,kontakt@fpuh.pl,+48 62 120 18 82,klient,pan Julian Sobolak,2023-04-07,nieaktywny
926,SPÓŁDZIELNIA FIUTAK S.A. SPÓŁKA Z O.O.,389-982-78-02,260090934,PL,Piaseczno,37-004,al. Jana 216,kontakt@spółdzielnia.pl,+48 52 886 98 80,dostawca,Sandra Siudek,2024-05-20,aktywny
927,Smorąg-Kozaczuk s.c. sp. z o.o.,2146449363,819231224,PL,Suwałki,18-625,ul. Hallera 60/59,kontakt@smorąg-kozaczuk.pl,+48 23 489 70 89,klient,Leon Zięcik,2023-04-22,aktywny
928,FPUH Miara Sp. z o.o. Sp.k. Spółka z o.o.,,601526417,PL,Gdańsk,96-616,pl. Nałkowskiej 32/75,kontakt@fpuh.pl,+48 79 856 19 23,oba,Tymoteusz Łuczyk,2025-07-04,aktywny
929,Kolber-Grys Sp. z o.o. Sp.k. sp. z o.o.,3351040966,229146938,PL,Kielce,04-212,al. Powstańców Śląskich 97,kontakt@kolber-grys.pl,+48 93 702 67 36,klient,Kajetan Bartoszak,2024-05-18,nieaktywny
930,FPUH Nalewajko-Haponiuk s.c. sp.k.,1149830749,680975011,PL,Starachowice,21-251,ul. Krótka 06/87,kontakt@fpuh.pl,+48 95 875 99 10,dostawca,Wojciech Pawlos,2022-12-26,aktywny
931,Stowarzyszenie Garczyk Sp.k. Spółka z o.o.,1189394065,847731349,PL,Iława,16-733,ul. Kasprowicza 046,kontakt@stowarzyszenie.pl,+48 56 871 67 81,oba,Dariusz Holewa,2022-05-26,aktywny
932,FPUH Gramza-Wawrzyńczyk Sp.j. Sp. z o.o.,3332470737,764266315,PL,Wałbrzych,14-150,plac Bolesława Krzywoustego 56,kontakt@fpuh.pl,+48 15 220 36 56,oba,pani Aniela Dyjach,2023-12-02,aktywny
933,Spółdzielnia Dykas Sp. z o.o. S.A.,2127602505,672336241,PL,Starachowice,83-711,aleja Szewska 45,kontakt@spółdzielnia.pl,+48 98 963 63 23,klient,Sara Pabiś,2022-04-29,aktywny
934,FPUH Ryczko s.c. sp. z o.o.,6163248882,735314694,PL,Tarnowskie Góry,77-037,ulica Gałczyńskiego 035,kontakt@fpuh.pl,+48 68 261 86 78,oba,pani Roksana Gral,2022-12-23,nieaktywny
935,Adamiuk-Wojtaszak Sp. z o.o. Sp.k. S.A.,3646871918,955344669,PL,Chrzanów,92-451,pl. Armii Krajowej 22/94,kontakt@adamiuk-wojtaszak.pl,+48 17 335 99 78,klient,Juliusz Pochroń,2025-12-07,aktywny
936,Faryna-Kruś S.A. Sp. J.,9208283231,154501175,PL,Śrem,39-152,ul. Wyspiańskiego 886,kontakt@faryna-kruś.pl,+48 41 651 80 20,dostawca,pan Tymoteusz Piersa,2026-06-12,aktywny
937,Miksza-Ruman s.c. Spółka z o.o.,8157245006,921927296,PL,Racibórz,67-384,al. Północna 72/76,kontakt@miksza-ruman.pl,+48 14 893 95 98,klient,Wiktor Czupryn,2020-11-24,aktywny
938,Strycharz-Trzepizur S.A. sp. z o.o.,9113717856,161469115,PL,Legnica,36-624,pl. Staffa 57,kontakt@strycharz-trzepizur.pl,+48 30 461 50 58,oba,pan Mariusz Prystupa,2021-11-06,aktywny
939,Spółdzielnia Szczepan-Albin Sp. z o.o. Sp.k. sp.k.,4442182997,679834925,PL,Bielsk Podlaski,05-409,pl. Mieszka I 14/88,kontakt@spółdzielnia.pl,+48 47 602 76 19,klient,Adam Fras,2022-07-12,aktywny
940,  PPUH Młot-Pronobis Sp. z o.o. Sp.k. Spółka z o.o.,8905670868,601773279,PL,Koło,24-707,pl. Matejki 72/09,kontakt@ppuh.pl,+48 16 713 16 10,oba,Bianka Lang,2023-06-28,nieaktywny
941,Katana S.A. S.A.,5515848268,505575023,Poland,Nowa Ruda,09-928,aleja Słowackiego 33,kontakt@katana.pl,+48 41 522 29 44,oba,pan Franciszek Grupa,2023-02-11,nieaktywny
942,Rećko i syn s.c. Spółka z o.o.,0542960802,771106793,PL,Kłodzko,10-202,ul. Rycerska 73,kontakt@rećko.pl ,+48 17 516 36 40,dostawca,Rozalia Żywica,2025-09-19,aktywny
943,CIARKA-FURA SP. Z O.O. SP.K. SP. Z O.O.,6481880443,791250747,PL,Mława,02-596,ul. Rycerska 39/97,kontakt@ciarka-fura.pl,+48 81 585 73 41,oba,Iwo Dynak,2022-09-25,aktywny
944,PPUH Pogorzelec Sp.j. sp. z o.o.,8164321263,764726382,PL,Czerwionka-Leszczyny,23-337,al. Skłodowskiej-Curie 448,kontakt@ppuh.pl,+48 32 634 83 92,oba,Cyprian Kurzydło,2024-01-03,aktywny
945,PPUH Franik-Karwan Sp.j. sp. z o.o.,036-258-63-19,432414395,PL,Elbląg,97-969,aleja Stycznia 877,kontakt@ppuh.pl,+48 21 573 15 59,dostawca,Kajetan Szelest,2024-12-05,aktywny
946,FPUH Wlaźlak Sp. z o.o. Spółka z o.o.,4026355822,415500894,PL,Mińsk Mazowiecki,44-654,pl. Moniuszki 33,kontakt@fpuh.pl,+48 13 784 20 70,dostawca,Nela Sobkiewicz,2024-01-04,aktywny
947,Gabinety Pyszczek Spółka z o.o.,4898803153,359247864,PL,Kwidzyn,14-702,plac Słowicza 25/23,kontakt@gabinety.pl,+48 46 439 27 69,oba,Alan Sorbian,2021-04-01,aktywny
948,Kuzior-Kinal S.A. Spółka z o.o.,0404333357,308659087,PL,Świętochłowice,67 486,pl. Sawickiej 43/47,kontakt@kuzior-kinal.pl,+48 86 422 25 60,oba,Leonard Walasik,2023-01-17,aktywny
949,Stowarzyszenie Hajdasz Sp. z o.o.,,751177700,PL,Skierniewice,96-323,al. Głogowa 66/06,kontakt@stowarzyszenie.pl,+48 41 707 21 90,oba,Kalina Materek,2022-10-11,aktywny
950,Krzykała-Łabaj Sp. z o.o. Sp.k. sp. z o.o.,6530601199,917497187,PL,Poznań,91-208,aleja Traugutta 056,kontakt@krzykała-łabaj.pl,+48 52 498 22 69,oba,Arkadiusz Jachna,2025-02-14,aktywny
951,FPUH Glanc-Sierpień S.A. Sp. J.,8002300911,459261644,PL,Pruszcz Gdański,65-451,plac Kopernika 25,kontakt@fpuh.pl,+48 25 662 26 86,oba,pan Michał Panasewicz,2020-09-14,aktywny
952,FPUH Stochaj Sp.j. S.A.,5774491603,766856058,PL,Leszno,36-622,al. Słowackiego 05,kontakt@fpuh.pl,+48 61 476 88 54,klient,Julita Nyk,2021-03-17,aktywny
953,Stowarzyszenie Bereda Sp.j. sp.k.,3687509261,309063902,PL,Tarnów,96-076,plac Kruczkowskiego 29,kontakt@stowarzyszenie.pl,+48 31 320 87 87,oba,Anita Pagacz,2022-03-20,aktywny
954,Grupa Korpal-Bryzek Sp. z o.o. Sp.k. S.A.,4556114048,239642759,PL,Ząbki,70 782,pl. Wybickiego 40/21,kontakt@grupa.pl,+48 16 949 56 90,klient,pani Janina Krzan,2024-05-05,aktywny
955,Wiencek-Pabisiak Sp.j. S.A.,6608112603,145267360,PL,Głogów,59-371,plac Kusocińskiego 44/90,kontakt@wiencek-pabisiak.pl,+48 18 632 36 56,dostawca,Ignacy Majtyka,2025-01-07,nieaktywny
956,Fundacja Pioch i syn s.c. Sp. z o.o.,0627153126,924198469,PL,Wołomin,07-852,ul. Skłodowskiej-Curie 096,kontakt@fundacja.pl,+48 43 448 55 16,dostawca,Dorota Humeniuk,2026-04-08,aktywny
957,Gabinety Głuszko S.A.,9177682934,663169142,PL,Oleśnica,37-589,plac Konstytucji 3 Maja 91,kontakt@gabinety,+48 48 867 15 24,klient,Ewelina Kwak,2023-12-20,nieaktywny
958,Gabinety Kielczyk-Malcher s.c. Sp. z o.o.,8735437882,246560683,PL,Żary,79-666,ulica Maczka 64/77,kontakt@gabinety.pl,+48 16 317 39 92,dostawca,Kornel Kijas,2021-12-13,aktywny
959,Słomiany-Dylik Sp. z o.o. Sp.k. Sp. J.,570-908-59-94,859723045,PL,Sanok,68-800,pl. Listopada 940,kontakt@słomiany-dylik.pl,+48 48 392 83 33,klient,Kacper Wicha,2025-08-21,nieaktywny
960,Konstanty-Klekot S.A. sp.k.,2699969967,938075564,PL,Kędzierzyn-Koźle,29-599,pl. Szymanowskiego 395,kontakt@konstanty-klekot.pl,+48 81 757 87 86,oba,Rafał Pindral,2025-09-03,aktywny
961,Wałęsa-Indyk S.A. sp.k.,4285969328,454714699,PL,Tychy,04-547,ul. Sawickiej 85,kontakt@wałęsa-indyk.pl,+48 48 121 74 49,oba,Arkadiusz Budzich,2022-09-27,nieaktywny
962,Spółdzielnia Pieczarka sp. z o.o.,1234266986,158811546,PL,Ostrowiec Świętokrzyski,26-311,aleja Broniewskiego 35,kontakt@spółdzielnia.pl,+48 90 816 12 81,dostawca,Sebastian Niedojadło,2022-04-18,aktywny
963,Grupa Fraszczyk Sp.j. Sp. z o.o.,7607234836,658339066,PL,Szczecin,57-889,pl. Kraszewskiego 77,kontakt@grupa.pl,+48 52 786 94 87,dostawca,Konrad Zarzeczna,2023-04-18,nieaktywny
964,PPUH Marko Sp. z o.o. sp.k.,2804056129,846404164,PL,Ruda Śląska,23-519,ul. Witosa 17,kontakt@ppuh.pl,+48 54 130 80 28,dostawca,pani Anastazja Rzeźniczak,2024-07-31,aktywny
965,Stefanik-Skiepko s.c. sp. z o.o.,6418696564,776836206,PL,Skarżysko-Kamienna,62-262,ul. Powstańców Śląskich 06,kontakt@stefanik-skiepko.pl,+48 38 115 81 71,dostawca,Blanka Złotek,2021-08-29,aktywny
966,Szafarz Sp. z o.o. Sp.k. Sp. J.,2385951433,934532128,PL,Piekary Śląskie,09-445,pl. Matejki 16/70,kontakt@szafarz.pl,+48 62 654 29 40,oba,Kazimierz Denkiewicz,2024-01-16,aktywny
967,Hirsch-Niedźwiadek S.A. Spółka z o.o.,0027300866,744666473,PL,Swarzędz,02-132,ul. Piłsudskiego 70/09,kontakt@hirsch-niedźwiadek.pl,+48 60 164 17 24,dostawca,Gustaw Dzieża,2026-03-17,aktywny
968,Fundacja Wizner-Budniak Sp.j. Sp. z o.o.,3950016804,757202600,PL,Jelenia Góra,23-959,ul. Konstytucji 3 Maja 25/12,kontakt@fundacja.pl,+48 21 400 90 87,klient,Sonia Węgrzynowicz,2024-02-29,aktywny
969,Fundacja Mętel S.A.,2839762055,336771632,POL,Rumia,34-637,plac Ściegiennego 50,kontakt@fundacja,+48 45 117 73 66,dostawca,pan Leonard Miąsik,2023-09-19,aktywny
970,Wielgos-Kobza s.c. Sp. z o.o.,7266292501,696425455,PL,Dębica,98-613,pl. Witosa 05,kontakt@wielgos-kobza.pl,+48 73 842 90 70,dostawca,Tomasz Getka,2021-02-03,nieaktywny
971,Tomaszkiewicz Sp.j. sp.k.,3337312552,867638331,PL,Malbork,54-877,al. Piłsudskiego 04/77,kontakt@tomaszkiewicz.pl,+48 36 453 61 23,dostawca,Hubert Jędrasiak,2021-06-12,aktywny
972,Stowarzyszenie Szpyrka-Dacko Sp.k. sp. z o.o.,211-920-61-36,905668951,PL,Rybnik,62-505,pl. Chopina 82,kontakt@stowarzyszenie.pl,+48 41 944 75 95,dostawca,Artur Galos,2022-01-16,aktywny
973,Bronka Sp. z o.o. sp.k.,4449029508,251237750,PL,Jawor,52-290,ul. Asnyka 42,kontakt@bronka.pl,+48 48 622 15 22,dostawca,Kornel Palej,2023-08-25,aktywny
974,FPUH Sołtysek s.c. Sp. z o.o.,3734167811,252227862,PL,Czechowice-Dziedzice,74-905,plac Kazimierza Wielkiego 529,kontakt@fpuh.pl,+48 74 783 75 31,klient,Ernest Siedlarz,2021-05-26,aktywny
975,Koloch S.A. sp. z o.o.,1798213485,550829541,POL,Piotrków Trybunalski,02-147,pl. Lelewela 26,kontakt@koloch.pl,+48 84 659 53 72,oba,pani Ewelina Mikiciuk,2025-06-20,aktywny
976,Gabinety Jonak S.A. S.A.,3831828565,131307046,PL,Gorlice,74-416,ul. Stolarska 48/71,kontakt@gabinety.pl,+48 40 686 67 12,dostawca,Ida Staciwa,2025-05-13,aktywny
977,Spółdzielnia Micał Sp. z o.o.,7706736825,950837330,PL,Puławy,63-791,al. Tysiąclecia 58,kontakt@spółdzielnia.pl,+48 57 882 10 58,oba,Wiktor Hein,2022-03-03,aktywny
978,Fundacja Majtyka sp. z o.o.   ,5871469211,661392444,PL,Szczecin,70-130,ulica Lazurowa 18,kontakt@fundacja.pl,+48 20 684 27 51,oba,Hubert Fiutak,2025-01-07,nieaktywny
979,Stowarzyszenie Pikor sp.k.,0898436994,681815214,PL,Oświęcim,71-963,ulica Szafirowa 32/30,kontakt@stowarzyszenie.pl,+48 80 988 12 30,klient,Maks Okła,2020-12-24,nieaktywny
980,Gabinety Miodek-Zbroszczyk i syn s.c. Sp. z o.o.,9386948425,420122455,PL,Police,68-049,al. Czarnieckiego 82,kontakt@gabinety.pl,+48 89 624 80 90,klient,pani Urszula Łukasz,2021-07-02,aktywny
981,Krzysztoszek-Wasyluk i syn s.c. S.A.,887-071-52-30,684082167,PL,Pruszcz Gdański,29-864,pl. Czarnieckiego 63/40,kontakt@krzysztoszek-wasyluk.pl,+48 68 499 71 35,oba,Gustaw Hanus,2022-08-26,aktywny
982,Fundacja Kozubal-Szkoła Sp.j. sp.k.,7461917792,671442511,PL,Ostrołęka,18-739,plac Kopernika 843,kontakt@fundacja.pl,+48 60 654 29 89,oba,Stanisław Tatarczuk,2025-06-14,aktywny
983,Spółdzielnia Szymajda Sp.j. Sp. J.,2258937085,441722477,PL,Jaworzno,98-996,aleja Ściegiennego 66,kontakt@spółdzielnia.pl,+48 62 758 33 97,oba,Witold Drożdżal,2023-03-22,aktywny
984,  Grupa Pakos Sp. J.,4056695792,141141272,PL,Tarnowskie Góry,18-915,ul. Orzechowa 72,kontakt@grupa.pl,+48 97 227 31 45,oba,Arkadiusz Działak,2022-07-13,aktywny
985,Koniecko Sp. z o.o. Sp.k. Spółka z o.o.,,310568556,PL,Ostróda,14-791,pl. Matejki 74/18,kontakt@koniecko.pl,+48 56 946 88 47,klient,pan Piotr Bobik,2023-04-29,aktywny
986,Stowarzyszenie Drop sp. z o.o.,8946338912,465272013,PL,Kołobrzeg,33-116,pl. Narutowicza 27/43,kontakt@stowarzyszenie.pl,+48 32 366 20 97,oba,Dawid Wypiór,2024-03-26,aktywny
987,PPUH Kaluga-Godzik S.A. Spółka z o.o.,7256292698,337997155,PL,Bielsk Podlaski,64-857,pl. Korczaka 14,kontakt@ppuh.pl,+48 54 642 87 97,dostawca,Iwo Fedyk,2021-09-14,aktywny
988,  Stowarzyszenie Giedrojć-Pokusa i syn s.c. sp.k.,1865507844,514764009,PL,Przemyśl,46 086,ulica Zakątek 97,kontakt@stowarzyszenie.pl,+48 13 724 51 72,oba,Tola Bajak,2023-10-12,aktywny
989,Grupa Reichel sp. z o.o.   ,0349189110,616703189,PL,Lubliniec,63-575,al. Plater 60/91,kontakt@grupa.pl,+48 32 148 35 76,oba,Aurelia Grzelczyk,2024-04-19,aktywny
990,Szoka S.A. Spółka z o.o.,0153641540,587131684,PL,Skarżysko-Kamienna,75-689,pl. Wróblewskiego 057,kontakt@szoka.pl,+48 52 947 51 35,klient,pan Ksawery Dywan,2022-12-27,aktywny
991,FPUH Siara S.A. Spółka z o.o.,9367813670,440720011,PL,Mława,24-025,pl. Wojska Polskiego 607,kontakt@fpuh.pl,+48 13 735 44 29,oba,Maurycy Budych,2021-10-12,aktywny
992,Stowarzyszenie Pyszka Sp. z o.o.,0527698197,662341139,PL,Tarnowskie Góry,58-803,aleja Lazurowa 42/38,kontakt@stowarzyszenie.pl,+48 82 161 87 26,dostawca,pani Elżbieta Swaczyna,2020-08-19,aktywny
993,Usarek-Wietecha i syn s.c. sp. z o.o.,3888562256,698510766,PL,Bielsko-Biała,43-361,ul. Krasickiego 116,kontakt@usarek-wietecha.pl,+48 64 159 51 84,oba,pani Krystyna Kałwa,2025-03-20,aktywny
994,Spółdzielnia Zygmuntowicz i syn s.c. S.A.,8744227581,462157365,PL,Lubliniec,63-360,plac Stefana Batorego 25,kontakt@spółdzielnia.pl,+48 80 747 53 85,dostawca,Kamil Warczak,2024-08-20,aktywny
995,Stowarzyszenie Majsterek-Gierat Sp.k. Spółka z o.o.,9428249118,972327059,PL,Bielawa,38-775,ul. Żwirki i Wigury 13/11,kontakt@stowarzyszenie.pl,+48 53 126 27 10,klient,Błażej Dworczak,2021-01-14,aktywny
996,PPUH Kurczak Spółka z o.o.,539-313-21-54,440780867,PL,Otwock,18-944,ul. Zbożowa 91/53,kontakt@ppuh.pl,+48 37 105 51 53,dostawca,pan Marcel Koronkiewicz,2020-12-08,aktywny
997,Hawrylak-Gul Sp. z o.o. Sp. J.,682-144-48-82,762400532,PL,Brzeg,29-854,pl. Asnyka 73,kontakt@hawrylak-gul.pl,+48 60 700 89 72,klient,Bartek Łuszczyk,2026-02-28,nieaktywny
998,Kobos-Złotek s.c. Sp. J.,3677462026,493305297,PL,Sochaczew,57-425,ul. Poniatowskiego 89,kontakt@kobos-złotek.pl,+48 58 394 36 18,oba,Aurelia Orpel,2023-01-03,aktywny
999,FPUH Piejko Sp.k. sp. z o.o.,8123123922,792722274,PL,Radomsko,34-442,plac Norwida 851,kontakt@fpuh.pl,+48 91 412 89 21,klient,Kazimierz Łuckiewicz,2024-10-14,aktywny
1000,Dyjach-Lempart s.c. Sp. z o.o.,8364723871,470448556,PL,Zielona Góra,13-940,al. Szymanowskiego 193,kontakt@dyjach-lempart.pl,+48 79 269 70 61,oba,pani Dorota Maksym,2021-07-14,aktywny
1001,Gabinety Lizoń-Nalewajek s.c. sp. z o.o.,2577545841,619512107,PL,Bolesławiec,64-606,ul. Grunwaldzka 87,kontakt@gabinety.pl,+48 59 258 83 14,dostawca,Mieszko Sutor,2022-02-26,aktywny
1002,Morys-Chojak Sp. z o.o. Sp.k. sp.k.,7683160823,871257032,PL,Kielce,93-283,al. Konarskiego 97,kontakt@morys-chojak.pl,+48 26 760 70 32,klient,Łukasz Pioch,2025-09-07,aktywny
1003,Muzyk-Terka Sp. z o.o. Sp.k. sp. z o.o.,7399205228,266635767,PL,Iława,90-691,plac Matejki 86/28,kontakt@muzyk-terka.pl,+48 63 275 22 64,dostawca,pani Inga Moryc,2021-05-27,aktywny
1004,PPUH Hinca sp. z o.o.,8823255399,679996203,pl,Łaziska Górne,10-629,aleja Chabrowa 33/92,kontakt@ppuh.pl,+48 51 669 49 44,dostawca,Antoni Januszewicz,2021-12-05,aktywny
1005,FPUH Kostro Sp. z o.o. Sp.k. Sp. J.,7732643095,457152483,PL,Bielsko-Biała,13-969,al. Perłowa 725,kontakt@fpuh.pl,+48 43 691 73 88,oba,Patryk Witoń,2021-11-12,aktywny
1006,  Spółdzielnia Misior S.A.,9970292717,274042355,Polska,Nowa Sól,33-512,ulica Strzelecka 335,kontakt@spółdzielnia,+48 53 352 95 86,dostawca,Natan Żelazek,2026-06-20,nieaktywny
1007,Osada Sp. z o.o. Sp.k. Sp. J.,1375298830,240304051,PL,Gdańsk,78-063,ul. Długosza 120,kontakt@osada.pl,+48 14 931 96 22,klient,Jan Słyk,2024-08-23,aktywny
1008,Stowarzyszenie Jop i syn s.c. Sp. J.,0832004876,751310272,PL,Mława,73-384,ulica Mostowa 97/28,kontakt@stowarzyszenie.pl,+48 77 615 74 82,dostawca,Mieszko Rawa,2024-06-22,aktywny
1009,Kryk-Pleśniak s.c. Sp. J.,5852386004,316890695,PL,Konin,57-724,ulica Wróblewskiego 090,kontakt@kryk-pleśniak.pl,+48 46 409 40 59,oba,Fabian Góraj,2021-06-23,aktywny
1010,Moskalik Sp.k. sp.k.,5171523919,124524881,PL,Piotrków Trybunalski,76-531,ulica Batalionów Chłopskich 92,kontakt@moskalik.pl,+48 93 691 31 85,oba,pani Dagmara Koronkiewicz,2024-06-18,aktywny
1011,Gabinety Frelek Sp. z o.o. Sp. z o.o.,4374830930,105274731,PL,Świecie,71-068,plac Stefana Batorego 37,kontakt@gabinety.pl,+48 71 184 36 97,oba,Olga Patyna,2026-03-01,aktywny
1012,Grupa Szymaniuk Sp. z o.o.,2602213212,837430793,PL,Biłgoraj,91-773,ul. Solidarności 15/89,kontakt@grupa.pl,+48 63 577 94 27,klient,Inga Bernatek,2021-11-06,aktywny
1013,Podpora-Filek S.A. Sp. J.,1116612208,229876362,PL,Mikołów,98-203,plac Niepodległości 617,kontakt@podpora-filek.pl,+48 68 239 53 94,oba,Marika Piłka,2026-06-29,aktywny
1014,PPUH ROGACZ SP. Z O.O.,3930493665,462187272,PL,Września,50-314,al. Wiśniowa 03/14,kontakt@ppuh.pl,+48 79 113 94 32,dostawca,Jędrzej Huczko,2023-12-09,aktywny
1015,Kopytko Sp. z o.o. Sp. z o.o.,2421140863,771462722,PL,Częstochowa,39-395,aleja Szymanowskiego 68,kontakt@kopytko.pl,+48 54 980 11 83,oba,Apolonia Korda,2024-03-21,nieaktywny
1016,Neska Sp. z o.o. sp. z o.o.,9462093555,874784405,PL,Knurów,24-914,aleja Kopernika 37/39,kontakt.neska.pl,+48 19 929 93 10,klient,Aleksander Baumgart,2024-06-06,aktywny
1017,Gładka-Błażejewicz Sp. z o.o. Sp. J.,9701371248,304823163,PL,Ełk,01-927,aleja Partyzantów 356,kontakt@gładka-błażejewicz.pl,+48 56 662 51 79,dostawca,Marcin Kosz,2024-11-25,aktywny
1018,Spółdzielnia Dyczko-Sprycha Sp. z o.o. Sp.k. sp. z o.o.,3041202707,553612745,PL,Świdnik,88-585,pl. Staszica 46/06,kontakt@spółdzielnia.pl,+48 57 728 30 71,klient,Albert Batóg,2026-02-08,aktywny
1019,Łaś-Citko Sp.j. sp. z o.o.,9907166904,542747932,PL,Przemyśl,77-011,pl. Mickiewicza 72/31,kontakt@łaś-citko.pl,+48 27 229 46 77,oba,Oliwier Szuta,2021-10-04,aktywny
1020,Grupa Frycz s.c. Spółka z o.o.,203-403-01-04,761572282,PL,Świętochłowice,22-967,pl. Długosza 64/84,kontakt@grupa.pl,+48 62 608 82 91,dostawca,Nicole Piejko,2024-09-09,aktywny
1021,Krenc Sp. z o.o. Spółka z o.o.,9157955464,285201676,PL,Otwock,26-974,aleja Piękna 80,kontakt@krenc.pl,+48 43 591 23 27,dostawca,pan Mikołaj Duczmal,2025-09-26,aktywny
1022,Pytlarz-Lazarek Sp.j. Sp. z o.o.,0801810300,965539784,PL,Siedlce,11-781,pl. Norwida 957,kontakt@pytlarz-lazarek.pl,+48 81 335 22 67,dostawca,Sara Habdas,2023-08-28,aktywny
1023,Waraksa s.c. Sp. z o.o.,5712901506,597631383,PL,Płońsk,25-787,aleja Mickiewicza 02/54,kontakt@waraksa.pl,+48 36 620 15 62,dostawca,Nataniel Szaruga,2021-09-12,aktywny
1024,Megger-Parzyszek Sp.j. S.A.,3510458478,422376563,PL,Kołobrzeg,20-970,plac Wyszyńskiego 35,kontakt@megger-parzyszek.pl,+48 62 279 24 35,klient,pan Borys Thiel,2020-10-02,aktywny
1025,Stuglik-Kliszcz Sp. z o.o. Sp.k. sp. z o.o.,5885766947,632762930,PL,Oława,21-147,al. Słowackiego 16,kontakt@stuglik-kliszcz.pl,+48 37 223 81 10,dostawca,Alan Gałach,2022-10-15,nieaktywny
1026,Stowarzyszenie Dziewa sp. z o.o.,9627466628,184754106,pl,Koszalin,14-701,ulica Kraszewskiego 90,kontakt@stowarzyszenie.pl,+48 85 165 77 40,klient,Nicole Hinca,2025-11-19,aktywny
1027,Roda-Piksa Sp. z o.o. Sp. z o.o.,4666145908,910778211,PL,Swarzędz,70-076,aleja Szmaragdowa 967,kontakt@roda-piksa.pl,+48 25 151 67 85,dostawca,Marika Wardziak,2025-10-19,aktywny
1028,Stowarzyszenie Satora Spółka z o.o.,0049388199,913130969,PL,Sanok,62-942,aleja Szymanowskiego 324,kontakt@stowarzyszenie.pl,+48 84 103 50 41,oba,Tobiasz Fidler,2021-04-18,aktywny
1029,Łabno-Janic Sp. z o.o. sp. z o.o.,0499809494,982306182,PL,Nowa Sól,39-148,aleja Wypoczynkowa 83/62,kontakt@łabno-janic.pl,+48 61 902 87 77,dostawca,pani Marika Sąsiadek,2023-01-25,aktywny
1030,Fundacja Kopyść Sp.j. sp. z o.o.,7971669844,209581171,PL,Mińsk Mazowiecki,50-475,plac Kazimierza Wielkiego 62/83,kontakt@fundacja.pl,+48 59 201 29 37,dostawca,Przemysław Kamieniak,2023-10-10,nieaktywny
